市縣,區域,總計,礦業及土石採取業,製造業,電力及燃氣供應業,用水供應及污染整治業,營建工程業,批發及零售業,運輸及倉儲業,住宿及餐飲業,出版、影音製作、傳播及資通訊服務業,金融及保險業、強制性社會安全,不動產業,專業、科學及技術服務業,支援服務業,教育業,醫療保健及社會工作服務業,藝術、娛樂及休閒服務業,其他服務業
臺南市,佳里區,3330,1,332,4,12,187,1466,45,461,10,56,35,74,50,67,80,50,400
臺南市,學甲區,1108,0,139,3,6,52,594,19,92,2,20,5,21,7,17,25,18,88
臺南市,西港區,1112,0,248,2,2,121,402,20,116,4,7,8,24,10,24,17,13,94
臺南市,七股區,551,0,108,1,2,68,185,14,72,3,5,1,3,11,4,6,21,47
臺南市,將軍區,474,0,83,2,0,31,196,20,58,3,9,0,7,6,6,8,1,44
臺南市,北門區,194,0,21,1,1,16,104,4,18,1,7,0,1,1,4,6,3,6
臺南市,新化區,2093,0,241,1,8,244,904,37,230,16,30,23,40,23,42,61,31,162
臺南市,善化區,2155,1,284,2,4,192,776,62,331,9,33,40,42,39,41,57,47,195
臺南市,新市區,2288,0,438,1,18,210,815,48,315,15,33,38,45,43,47,39,32,151
臺南市,安定區,1577,0,557,1,10,138,483,40,126,5,11,16,25,14,21,9,18,103
臺南市,山上區,271,0,68,2,3,31,97,3,30,1,4,0,4,3,4,4,3,14
臺南市,玉井區,815,0,21,1,2,51,381,19,172,1,6,1,15,7,16,19,12,91
臺南市,楠西區,371,0,18,2,3,20,180,7,72,0,3,0,2,6,8,8,1,41
臺南市,南化區,184,0,6,2,3,30,83,8,22,1,3,0,0,1,7,3,0,15
臺南市,左鎮區,110,0,4,1,0,14,53,2,15,0,3,0,1,1,2,3,0,11
臺南市,仁德區,5622,0,1787,11,40,414,1788,135,503,32,76,84,97,79,52,67,71,386
臺南市,歸仁區,3426,0,731,4,24,325,1162,59,386,19,36,51,79,61,80,73,44,292
臺南市,關廟區,1382,0,309,3,4,117,611,14,112,2,14,8,24,14,26,22,18,84
臺南市,龍崎區,77,0,7,0,1,6,30,9,10,0,3,0,0,1,1,2,3,4
臺南市,永康區,15603,1,3665,8,59,1098,5518,302,1574,125,290,313,408,299,282,289,186,1186
臺南市,東區,12558,0,546,3,40,617,5195,258,1992,177,295,348,590,298,344,386,161,1308
臺南市,南區,8297,0,1085,0,42,497,3418,180,1070,53,103,127,272,126,105,186,100,933
臺南市,北區,8854,1,762,2,22,461,3790,176,1107,86,208,236,371,163,181,259,136,893
臺南市,安南區,10658,1,2851,11,61,844,3821,251,957,59,93,120,245,143,172,145,123,761
臺南市,安平區,4280,1,220,4,4,325,1742,70,625,39,104,201,294,90,95,80,41,345
臺南市,中西區,9487,1,366,3,10,189,4456,119,1917,73,350,167,346,127,140,237,148,838
臺東縣,全部,11167,19,353,23,28,850,4507,325,2504,47,147,144,213,324,208,226,297,952
臺東縣,臺東市,6615,13,212,6,17,545,2625,190,1379,38,84,126,167,188,101,140,172,612
臺東縣,成功鎮,584,1,18,1,3,60,247,16,112,1,8,2,11,7,10,13,12,62
臺東縣,關山鎮,486,0,23,1,0,43,204,14,95,1,7,3,9,12,8,11,12,43
臺東縣,卑南鄉,574,0,12,2,3,43,246,33,141,1,4,3,6,22,8,9,12,29
臺東縣,鹿野鄉,346,1,19,1,0,18,157,9,66,1,7,0,5,9,7,5,12,29
臺東縣,池上鄉,458,0,23,2,1,27,216,10,97,2,3,3,3,17,6,9,8,31
臺東縣,東河鄉,283,0,8,2,0,14,128,14,70,0,5,4,1,2,8,4,8,15
臺東縣,長濱鄉,258,0,5,1,0,13,130,5,52,0,11,0,2,2,5,5,4,23
臺東縣,太麻里鄉,474,0,18,2,2,26,200,12,112,1,7,1,5,5,6,7,13,57
臺東縣,大武鄉,245,3,3,1,0,21,104,3,57,1,3,0,3,2,7,6,5,26
臺東縣,綠島鄉,295,0,0,2,1,8,55,6,140,0,2,2,0,35,14,3,15,12
臺東縣,海端鄉,92,0,1,0,0,8,49,2,11,0,2,0,0,1,9,2,5,2
臺東縣,延平鄉,65,0,3,0,0,3,25,4,13,0,1,0,1,0,5,3,5,2
臺東縣,金峰鄉,73,1,4,0,0,8,32,0,11,0,0,0,0,2,6,5,3,1
臺東縣,達仁鄉,82,0,1,0,0,4,43,1,16,0,1,0,0,1,4,2,6,3
臺東縣,蘭嶼鄉,237,0,3,2,1,9,46,6,132,1,2,0,0,19,4,2,5,5
花蓮縣,全部,18907,35,851,21,63,1660,7395,990,3695,95,243,345,437,428,321,371,296,1661
花蓮縣,花蓮市,8160,11,277,3,25,552,3233,357,1718,57,134,194,239,221,151,186,131,671
花蓮縣,鳳林鎮,557,0,18,2,1,52,231,19,110,2,13,0,5,9,8,13,8,66
花蓮縣,玉里鎮,1126,2,53,2,2,88,497,41,195,4,14,9,20,25,24,26,21,103
花蓮縣,新城鄉,1000,2,61,4,1,81,374,98,190,3,11,16,16,21,12,10,17,83
花蓮縣,吉安鄉,4779,10,318,3,30,641,1661,326,719,21,36,103,122,97,58,71,68,495
花蓮縣,壽豐鄉,926,4,30,1,1,93,292,47,297,3,9,16,14,20,10,12,9,68
花蓮縣,光復鄉,641,0,23,1,1,52,314,15,120,1,6,4,9,4,10,11,9,61
花蓮縣,豐濱鄉,146,0,2,1,0,3,70,6,46,0,2,0,0,1,3,3,4,5
花蓮縣,瑞穗鄉,581,0,35,1,1,37,272,25,102,2,7,3,4,13,7,8,10,54
花蓮縣,富里鄉,452,1,18,1,0,27,225,16,90,1,7,0,4,6,8,5,8,35
花蓮縣,秀林鄉,359,5,15,2,1,24,139,24,78,1,3,0,2,10,16,17,5,17
花蓮縣,萬榮鄉,97,0,1,0,0,7,43,9,17,0,0,0,2,1,6,5,4,2
花蓮縣,卓溪鄉,83,0,0,0,0,3,44,7,13,0,1,0,0,0,8,4,2,1
苗栗縣,全部,24868,26,2790,28,127,2868,9628,679,2884,129,331,504,628,457,465,478,433,2413
苗栗縣,苗栗市,4915,5,191,4,19,464,1979,159,637,39,75,132,184,121,101,131,135,539
苗栗縣,苑裡鎮,2223,1,450,1,10,260,854,29,182,7,21,28,47,32,37,38,27,199
